symbol,rows,nulls,min_ts,max_ts,first_oi_ts,last_oi_ts,null_rate,non_nulls
UNI_USDT:USDT,38377,10451,2020-09-19 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.272324569403549,27926
AVAX_USDT:USDT,38289,10334,2020-09-24 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2698947478388049,27955
ENJ_USDT:USDT,38056,10164,2020-09-30 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.26708009249527015,27892
NEAR_USDT:USDT,37595,9816,2020-10-16 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.26109855033914087,27779
FIL_USDT:USDT,37555,9754,2020-10-17 06:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.25972573558780454,27801
AAVE_USDT:USDT,37693,9779,2020-10-17 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2594380919534131,27914
LRC_USDT:USDT,37439,9679,2020-10-20 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.25852720425225034,27760
AXS_USDT:USDT,36820,8934,2020-11-21 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.24263986963606735,27886
ZEN_USDT:USDT,36634,8888,2020-11-25 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2426161489326855,27746
GRT_USDT:USDT,36032,8270,2020-12-20 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.22951820603907638,27762
1INCH_USDT:USDT,35988,8101,2020-12-26 10:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2251028120484606,27887
CHZ_USDT:USDT,35337,7440,2021-01-22 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.21054418881059514,27897
SAND_USDT:USDT,35130,7394,2021-01-26 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.21047537717050954,27736
RVN_USDT:USDT,34397,6653,2021-02-24 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.19341803064220717,27744
CHR_USDT:USDT,34140,6254,2021-03-13 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.18318687756297597,27886
MANA_USDT:USDT,33968,6173,2021-03-16 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.18172986340084785,27795
HBAR_USDT:USDT,33887,6137,2021-03-18 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.18110189748281053,27750
STMX_USDT:USDT,33881,6021,2021-03-23 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.17771022106785514,27860
DENT_USDT:USDT,33859,5975,2021-03-25 04:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.17646711361824036,27884
CELR_USDT:USDT,33765,5854,2021-03-30 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.17337479638679107,27911
OGN_USDT:USDT,33504,5772,2021-04-02 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.1722779369627507,27732
MTL_USDT:USDT,33611,5783,2021-04-01 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.1720567671298087,27828
NKN_USDT:USDT,33415,5579,2021-04-10 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.16696094568307646,27836
TIA_USDT:USDT,11261,1450,2023-11-01 18:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.1287629873013054,9811
STEEM_USDT:USDT,11010,1261,2023-11-09 14:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.1145322434150772,9749
CELO_USDT:USDT,29426,1529,2021-09-28 03:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.051960850948141096,27897
CTSI_USDT:USDT,28697,833,2021-10-27 03:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.029027424469456737,27864
LSK_USDT:USDT,9154,10,2024-01-26 14:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-26 14:00:00+00:00,2025-02-15 23:00:00+00:00,0.0010924186148131964,9144
OP_USDT:USDT,23577,10,2022-06-02 14:00:00+00:00,2025-02-15 23:00:00+00:00,2022-06-02 14:00:00+00:00,2025-02-15 23:00:00+00:00,0.0004241421724562073,23567
APE_USDT:USDT,25382,10,2022-03-18 15:00:00+00:00,2025-02-15 23:00:00+00:00,2022-03-18 15:00:00+00:00,2025-02-15 23:00:00+00:00,0.0003939799858167205,25372
IMX_USDT:USDT,26041,10,2022-02-12 03:00:00+00:00,2025-02-15 23:00:00+00:00,2022-02-12 03:00:00+00:00,2025-02-15 23:00:00+00:00,0.0003840098306516647,26031
FLOW_USDT:USDT,26073,10,2022-02-11 03:00:00+00:00,2025-02-15 23:00:00+00:00,2022-02-11 03:00:00+00:00,2025-02-15 23:00:00+00:00,0.0003835385264449814,26063
COS_USDT:USDT,3257,0,2024-10-01 13:00:00+00:00,2025-02-15 23:00:00+00:00,2024-10-01 13:00:00+00:00,2025-02-15 23:00:00+00:00,0.0,3257
TROY_USDT:USDT,2514,0,2024-11-01 13:00:00+00:00,2025-02-15 23:00:00+00:00,2024-11-01 13:00:00+00:00,2025-02-15 23:00:00+00:00,0.0,2514
